背诵次数,忘记次数,最后一次忘记的日期,word,level,list,序号,页数,易混淆1,助记备注
,,,accountant,2,4,,,,
,,,airway,2,5,,,,
,,,alongsdie,2,5,,,,
,,,anxiety,2,4,,,,
,,,Arab,2,11,,,,
,,,awesome,2,8,,,,
,,,billboard,2,2,,,,
,,,blanket,2,1,,294,,
,,,board,2,8,,,,
,,,boarder ,2,8,,,,
,,,boredom,2,10,,,,
,,,brilliant,2,11,,,,
,,,broad,2,8,,,,
,,,bun,2,1,,292,,
,,,butter,2,12,,,,
,,,calcium,2,11,,,,
,,,carpet,2,3,,,,
,,,cereal,2,2,,,,
,,,coast,2,6,,,,
,,,coconut,2,5,,,,
,,,concert,2,4,,,,
,,,contrast,2,10,,,,
,,,county,2,5,,,,
,,,crocodile,2,8,,,,
,,,deed,2,1,,293,,
,,,depart,2,8,,,,
,,,dioxide,2,1,,291,,
,,,diploma,2,2,,,,
,,,diplomatic,2,9,,,,
,,,dorm,2,8,,,,
,,,downstream,2,5,,,,
,,,dusty,2,2,,,,
,,,essay,2,5,,,,
,,,evergreen,2,10,,,,
,,,express,2,6,,,,
,,,firm,2,6,,,,
,,,formerly,2,3,,,,
,,,freshwater,2,5,,,,
,,,furthermore,2,9,,,,
,,,gallery,2,6,,,,
,,,garage,2,8,,,,
,,,gently,2,1,,294,,
,,,glassy,2,4,,,,
,,,goer,2,6,,,,
,,,grace,2,3,,,,
,,,gradual,2,5,,,,
,,,grand,2,2,,,,
,,,grassy,2,7,,,,
,,,grateful,2,6,,,,
,,,ham,2,3,,,,
,,,hence,2,2,,,,
,,,indicate,2,4,,,,
,,,influent,2,9,,,,
,,,instruction,2,6,,,,
,,,invaluable,2,9,,,,
,,,jellyfish,2,6,,,,
,,,jet,2,1,,291,,
,,,kidney,2,11,,,,
,,,lead,2,1,,293,,
,,,lick,2,7,,,,
,,,lizard,2,4,,,,
,,,maple,2,10,,,,
,,,mat,2,3,,,,
,,,melody,2,10,,,,
,,,monk,2,2,,,,
,,,moreover,2,1,,292,,
,,,nitrogen,2,1,,291,,
,,,ole,2,3,,,,
,,,ounce,2,8,,,,
,,,overnight,2,11,,,,
,,,overnight success,2,11,,,,
,,,owe,2,12,,,,
,,,ownership,2,5,,,,
,,,pavement,2,10,,,,
,,,paycheck,2,10,,,,
,,,perfume,2,2,,,,
,,,photocopy,2,10,,,,
,,,photographic,2,1,,293,,
,,,power plant,2,2,,,,
,,,plant,2,2,,,,
,,,playwright,2,7,,,,
,,,politic,2,5,,,,
,,,pond,2,11,,,,
,,,prehistory,2,1,,294,,
,,,readily,2,8,,,,
,,,recreation,2,7,,,,
,,,regard,2,10,,,,
,,,regularity,2,3,,,,
,,,rifle,2,3,,,,
,,,running-water,2,5,,,,
,,,sauce,2,10,,,,
,,,semester,2,5,,,,
,,,shiny,2,8,,,,
,,,snail,2,9,,,,
,,,snail mail,2,9,,,,
,,,soundtrack,2,9,,,,
,,,starfish,2,5,,,,
,,,storey,2,7,,,,
,,,studio,2,12,,,,
,,,stuff,2,11,,,,
,,,sugarcane,2,6,,,,
,,,tanker,2,6,,,,
,,,teller,2,10,,,,
,,,temple,2,9,,,,
,,,thereafter,2,7,,,,
,,,timekeeper,2,1,,292,,
,,,tulip,2,5,,,,
,,,van,2,8,,,,
,,,vehicle,2,6,,,,
,,,Venice,2,8,,,,
,,,waterfront,2,9,,,,
,,,wax,2,11,,,,
,,,wholly,2,8,,,,
