日期,复习列表,新列表,新增易忘词数量,新列表新词数量,复习词总量（大约）
2020年9月7日,Lv3 10个list,无,48,无,1000
2020年9月8日,Lv4 10个list,无,57,无,1100
2020年9月9日,Lv5L1-Lv5L2,Lv5L3,27,34,200
2020年9月10日,Lv3 10个list,Lv5L3,17,,1000
2020年9月11日,无,Lv5L4,,49,
2020年9月12日,,,,,
2020年9月13日,,,,,
2020年9月14日,,,,,
2020年9月15日,Lv4 10个list,,,,1100
2020年9月16日,Lv5L1-Lv5L2,,,,200
2020年9月17日,,,,,
2020年9月18日,,,,,
2020年9月19日,,,,,
2020年9月20日,,,,,
2020年9月21日,,,,,
2020年9月22日,,,,,
2020年9月23日,,,,,
2020年9月24日,Lv1 12个List,,,,1100
2020年9月25日,"Lv2 12个List Lv3,Lv4 ",,,,3200
